pdb_id,author_family_name
1b5b,Dangi
1b5b,Sarma
1b5b,Yan
1b5b,Banville
1b5b,Guiles
1b5k,Cullinan
1b5k,Korobka
1b5k,Grollman
1b5k,Patel
1b5k,Eisenberg
1b5k,de los Santos
1b5n,Volkman
1b5n,Anderson
1b5n,Clark
1b5n,Hayakawa
1b5n,Strand
1b5n,Markley
1b60,Cullinan
1b60,Johnson
1b60,de los Santos
1b64,Perez
1b64,Siegal
1b64,Kriek
1b64,Hard
1b64,Dijk
1b64,Canters
1b64,Moller
1b69,Wojciak
1b69,Connolly
1b69,Clubb
1b6f,Schweimer
1b6f,Sticht
1b6f,Boehm
1b6f,Roesch
1b6x,Cullinan
1b6x,Johnson
1b6x,Grollman
1b6x,Eisenberg
1b6x,de los Santos
1b6y,Korobka
