bmrb_id,author_family_name
598,Wuthrich
599,Carlsson
599,Kumar
599,Lazdunski
599,Moonen
599,Steinmetz
599,Visser
599,Wuthrich
600,Carlsson
600,Kumar
600,Lazdunski
600,Moonen
600,Steinmetz
600,Visser
600,Wuthrich
606,Brown
606,Wuthrich
611,Clayden
611,Inagaki
611,Tamiya
611,Williams
613,Arseniev
613,Bystrov
613,Pashkov
613,Pluzhkinov
613,Rochat
614,Arseniev
614,Bystrov
614,Pashkov
614,Pluzhkinov
614,Rochat
623,Martenson
623,Mendz
623,Price
630,Moore
630,Williams
644,Bax
644,Sparks
644,Torchia
644,Young
645,Angstrom
645,Falk
645,Jovall
646,Angstrom
646,Falk
646,Jovall
647,Angstrom
647,Falk
647,Jovall
648,Angstrom
648,Falk
648,Jovall
649,Angstrom
649,Falk
649,Jovall
653,Akutsu
653,Ogasahara
653,Sawada
653,Yutani
660,Muller
660,van Mierlo
660,Vervoort
661,Bray
661,Jardetzky
661,Ribeiro
661,Wemmer
662,Levy
662,Neumann
662,Rigaud
662,Seigneuret
664,Moore
664,Porteous
664,Robinson
664,Soffe
664,Williams
664,Williams
665,Moore
665,Porteous
665,Robinson
665,Soffe
665,Williams
665,Williams
666,Moore
666,Porteous
666,Robinson
666,Soffe
666,Williams
666,Williams
667,Moore
667,Porteous
667,Robinson
667,Soffe
667,Williams
667,Williams
668,Moore
668,Porteous
668,Robinson
668,Soffe
668,Williams
668,Williams
672,Chien
672,Dickinson
673,Chien
673,Dickinson
674,Bosch
674,Brown
674,Wuthrich
676,Hasegawa
676,Hikichi
676,Ogura
676,Tsuda
676,Yagi
677,Hasegawa
677,Hikichi
677,Ogura
677,Tsuda
677,Yagi
682,Herranz
682,Jimenez
682,Nieto
682,Rico
682,Santoro
695,Adjadj
695,Dimicoli
695,Favaudon
695,Lhoste
695,Mispelter
695,Quiniou
699,Hilbers
699,van de Ven
700,Barling
700,Coddington
704,Coleman
704,King
705,Coleman
705,King
706,Coleman
706,King
707,Coleman
707,King
736,Boelens
736,Kaptein
736,Scheek
736,van Boom
749,Hasegawa
749,Hikichi
749,Tsuda
749,Yagi
749,Yoshida
750,Hasegawa
750,Hikichi
750,Tsuda
750,Yagi
750,Yoshida
753,Chazin
753,Forsen
753,Skelton
754,Ehrenberg
754,Graslund
754,Khan
754,Shriver
758,Cai
758,Chau
758,Timkovich
759,Cai
759,Chau
759,Timkovich
760,Cai
760,Chau
760,Timkovich
761,Cai
761,Chau
761,Timkovich
779,Arata
779,Fujino
779,Kato
779,Kitada
779,Nakajima
779,Saito
779,Shimada
780,Klug
780,Nagai
780,Nakaseko
780,Neuhaus
781,Klug
781,Nagai
781,Nakaseko
781,Neuhaus
791,Davis
810,Hilbers
810,Lycksell
810,van de Ven
810,van Kammen
811,Banci
811,Bertini
811,Cabelli
811,Hallewell
811,Luchinat
811,Viezzoli
812,Banci
812,Bertini
812,Cabelli
812,Hallewell
812,Luchinat
812,Viezzoli
813,Banci
813,Bertini
813,Cabelli
813,Hallewell
813,Luchinat
813,Viezzoli
814,Banci
814,Bertini
814,Cabelli
814,Hallewell
814,Luchinat
814,Viezzoli
821,Banci
821,Bertini
821,Dugad
821,La Mar
822,Banci
822,Bertini
822,Dugad
822,La Mar
823,Mabbutt
823,Wright
824,Mabbutt
824,Wright
846,Hincke
846,Kay
846,Sykes
848,Bray
848,Jardetzky
848,Ribeiro
848,Wade-Jardetzky
848,Wemmer
849,Bray
849,Jardetzky
849,Ribeiro
849,Wade-Jardetzky
849,Wemmer
862,Hincke
862,Kay
862,Sykes
877,Eakin
877,Matwiyoff
877,Morgan
878,Eakin
878,Matwiyoff
878,Morgan
883,Bradbury
883,Dodson
883,Ramesh
